Meeting,CC,Regs
72,AQ,1
72,AR,1
72,AT,10
72,AU,13
72,BE,14
72,BR,3
72,CA,36
72,CH,9
72,CL,1
72,CN,65
72,CZ,6
72,DE,69
72,DK,3
72,ES,11
72,ET,1
72,FI,52
72,FR,56
72,GB,58
72,GR,1
72,HK,1
72,HR,2
72,HU,4
72,IE,21
72,IL,15
72,IN,5
72,IR,1
72,IS,1
72,IT,22
72,JP,115
72,KR,57
72,LU,2
72,MD,1
72,ML,1
72,MU,1
72,MY,1
72,NL,24
72,NO,12
72,NZ,1
72,PK,2
72,PL,3
72,SE,31
72,SG,7
72,TH,1
72,TR,1
72,TW,5
72,UM,1
72,US,419
72,UY,3
72,VE,1
73,AE,1
73,AQ,1
73,AR,1
73,AT,4
73,AU,11
73,AX,1
73,BD,1
73,BE,8
73,BR,3
73,CA,27
73,CG,1
73,CH,5
73,CL,1
73,CN,31
73,CR,1
73,CZ,5
73,DE,51
73,DK,4
73,ES,6
73,FI,27
73,FJ,1
73,FR,38
73,GB,28
73,HR,1
73,HT,2
73,HU,2
73,IE,1
73,IL,11
73,IN,1
73,IT,15
73,JP,97
73,KE,1
73,KR,22
73,LU,1
73,MA,1
73,MD,2
73,MN,1
73,NC,2
73,NL,16
73,NO,8
73,NZ,2
73,PA,1
73,PL,1
73,SE,27
73,SG,2
73,TG,1
73,TK,1
73,TR,1
73,TV,1
73,TW,2
73,US,486
73,UY,1
73,VE,1
73,ZA,1
74,AE,2
74,AQ,1
74,AR,1
74,AT,4
74,AU,11
74,BD,1
74,BE,10
74,BR,4
74,CA,37
74,CH,8
74,CN,39
74,CZ,4
74,DE,55
74,DK,3
74,ES,5
74,FI,29
74,FR,52
74,GB,31
74,GR,1
74,HK,1
74,HR,2
74,HT,2
74,HU,2
74,IE,2
74,IL,7
74,IT,21
74,JP,93
74,KE,1
74,KR,24
74,LU,2
74,MA,1
74,MN,1
74,MW,1
74,MX,2
74,NL,17
74,NO,12
74,NZ,4
74,PK,1
74,RU,1
74,RW,1
74,SE,21
74,SG,5
74,SI,3
74,TG,1
74,TH,1
74,TW,4
74,UG,1
74,US,635
74,UY,2
74,UZ,1
75,AE,1
75,AT,5
75,AU,8
75,BE,12
75,BR,5
75,CA,22
75,CG,1
75,CH,12
75,CL,1
75,CN,102
75,CZ,6
75,DE,74
75,DK,1
75,EG,1
75,ES,11
75,FI,51
75,FR,42
75,GB,35
75,GR,3
75,HK,1
75,HU,3
75,IE,3
75,IL,14
75,IN,3
75,IT,18
75,JP,93
75,KE,1
75,KR,35
75,LU,1
75,MA,2
75,MU,1
75,MX,1
75,NL,28
75,NO,11
75,NZ,1
75,PK,1
75,PL,1
75,PR,1
75,PT,1
75,RO,1
75,RU,2
75,SE,85
75,SG,1
75,TR,1
75,TW,2
75,UG,1
75,US,390
75,UY,3
75,VA,1
75,VE,1
75,ZA,1
76,AR,1
76,AT,2
76,AU,10
76,BE,9
76,BR,6
76,CA,19
76,CH,4
76,CL,1
76,CN,100
76,CR,1
76,CZ,4
76,DE,38
76,DK,1
76,ES,5
76,ET,1
76,FI,28
76,FJ,1
76,FR,45
76,GA,1
76,GB,29
76,GR,1
76,HU,2
76,IE,2
76,IL,11
76,IN,2
76,IT,13
76,JP,375
76,KR,42
76,LC,1
76,LU,1
76,MU,1
76,MX,1
76,MY,1
76,NL,17
76,NO,4
76,NZ,4
76,PK,4
76,PL,2
76,PR,1
76,SE,21
76,SG,6
76,TR,1
76,TW,3
76,UM,2
76,US,304
76,UY,1
77,AE,2
77,AT,2
77,AU,9
77,BD,1
77,BE,8
77,BR,6
77,BW,1
77,CA,41
77,CH,7
77,CN,103
77,CY,1
77,CZ,3
77,DE,39
77,DK,1
77,ES,6
77,ET,1
77,FI,29
77,FJ,1
77,FR,48
77,GB,33
77,GR,1
77,HK,1
77,HU,1
77,IE,1
77,IL,12
77,IN,3
77,IT,14
77,JP,108
77,KR,25
77,LU,1
77,MA,1
77,MN,1
77,MU,1
77,MW,1
77,MX,3
77,NA,1
77,NL,23
77,NO,6
77,NZ,3
77,PA,1
77,RU,1
77,SE,27
77,SG,3
77,TG,2
77,TR,1
77,UG,1
77,US,656
77,VA,1
78,AL,1
78,AQ,1
78,AT,3
78,AU,13
78,BE,28
78,BR,6
78,CA,30
78,CH,13
78,CL,1
78,CN,119
78,CO,1
78,CY,1
78,CZ,8
78,DE,91
78,ES,11
78,ET,1
78,FI,31
78,FR,56
78,GB,50
78,GE,1
78,GH,1
78,GR,2
78,HU,1
78,IE,2
78,IL,15
78,IN,5
78,IT,23
78,JO,1
78,JP,100
78,KR,30
78,LU,3
78,MD,1
78,MU,2
78,MX,2
78,NL,54
78,NO,10
78,NZ,4
78,PL,2
78,PR,1
78,PT,2
78,RO,1
78,RU,1
78,SE,28
78,SG,4
78,SI,4
78,TC,1
78,TG,1
78,TH,1
78,TR,1
78,TW,2
78,US,385
78,UY,2
78,VE,1
79,AE,1
79,AR,2
79,AU,4
79,BE,11
79,BJ,1
79,BR,9
79,CA,25
79,CD,1
79,CH,4
79,CN,328
79,CR,1
79,CZ,3
79,DE,35
79,DK,1
79,ES,7
79,FI,27
79,FR,46
79,GB,27
79,HK,2
79,HU,2
79,IE,2
79,IL,9
79,IN,9
79,IT,13
79,JP,96
79,KE,1
79,KR,43
79,KW,1
79,MN,1
79,MU,2
79,MX,5
79,MY,1
79,NL,17
79,NO,7
79,NZ,4
79,PH,5
79,PK,3
79,PL,3
79,RU,1
79,SE,20
79,SG,6
79,SI,1
79,SN,1
79,TF,1
79,TH,1
79,TR,1
79,TW,4
79,UG,1
79,UM,1
79,US,339
79,VE,2
79,VN,2
79,ZA,4
80,AE,1
80,AQ,1
80,AR,1
80,AT,5
80,AU,11
80,BE,15
80,BR,6
80,CA,35
80,CC,1
80,CD,2
80,CH,10
80,CN,125
80,CY,1
80,CZ,12
80,DE,84
80,DK,3
80,ES,18
80,FI,42
80,FR,65
80,GB,49
80,GE,1
80,GR,4
80,HU,6
80,IE,4
80,IL,11
80,IN,8
80,IS,1
80,IT,24
80,JP,75
80,KR,14
80,LU,2
80,MD,1
80,MU,1
80,MX,4
80,MY,1
80,NL,29
80,NO,12
80,NZ,5
80,PK,1
80,PL,5
80,RU,2
80,SA,1
80,SE,36
80,SG,5
80,SI,4
80,SK,1
80,TR,1
80,TW,1
80,UA,1
80,UG,1
80,US,445
80,UY,2
81,AE,1
81,AT,4
81,AU,12
81,BE,14
81,BR,7
81,CA,53
81,CH,9
81,CL,1
81,CN,105
81,CZ,3
81,DE,37
81,DK,1
81,ES,8
81,FI,23
81,FR,46
81,GB,35
81,GR,1
81,HU,2
81,IE,1
81,IL,12
81,IN,6
81,IT,17
81,JP,81
81,KR,25
81,LU,1
81,MA,1
81,MU,2
81,NL,22
81,NO,6
81,NZ,3
81,PA,1
81,PK,1
81,PL,2
81,PT,1
81,RU,1
81,SC,1
81,SE,21
81,SG,3
81,SN,2
81,TH,1
81,TW,1
81,UG,1
81,UM,1
81,US,522
81,UY,2
81,UZ,2
82,AE,1
82,AT,4
82,AU,4
82,BD,1
82,BE,11
82,BR,4
82,CA,18
82,CH,4
82,CN,111
82,CZ,5
82,DE,32
82,DK,1
82,ES,12
82,FI,26
82,FR,35
82,GB,21
82,HK,1
82,HU,3
82,IE,2
82,IL,8
82,IN,10
82,IT,10
82,JP,106
82,KR,45
82,LK,1
82,LS,1
82,LU,1
82,MA,1
82,MU,1
82,MX,2
82,MY,1
82,NL,19
82,NO,1
82,NZ,4
82,PK,2
82,PL,2
